chan,utime,isotime,source,heard,level,error,dti,name,symbol,latitude,longitude,speed,course,altitude,frequency,offset,tone,system,status,comment
0,1538697600,2018-10-05T00:00:00Z,N3UJJ-6,N3HF-1?,3(0/0),0,!,N3UJJ-6,S#,38.988500,-76.499000,,,,,,,Kantronics KPC-3 rom versions,,," W2, MDn-N, Annapolis Digipeater"
0,1538697617,2018-10-05T00:00:17Z,WC4J-3,N3HF-1?,1(0/0),0,;,508,/d,38.794333,-77.449667,,,,,,,APRSISCE win32 version,,,Yorkshire VFD
0,1538697647,2018-10-05T00:00:47Z,WC4J-3,N3HF-1?,3(0/0),0,;,516,/d,38.731333,-77.418500,,,,,,,APRSISCE win32 version,,,Buckhall VFD
0,1538697669,2018-10-05T00:01:09Z,K8GIS-1,K8GIS-1,3(0/0),0,`,K8GIS-1,/k,38.792000,-77.561667,0.0,118.0,101.0,,,,Yaesu FTM-400DR,En Route,,
0,1538697669,2018-10-05T00:01:09Z,K8GIS-1,N3HF-1?,2(0/1),0,`,K8GIS-1,/k,38.792000,-77.561667,0.0,118.0,101.0,,,,Yaesu FTM-400DR,En Route,,
0,1538697672,2018-10-05T00:01:12Z,K8GIS-1,N3HF-1?,3(0/0),0,`,K8GIS-1,/k,38.792000,-77.561667,0.0,118.0,101.0,,,,Yaesu FTM-400DR,En Route,,
0,1538697676,2018-10-05T00:01:16Z,WC4J-3,N3HF-1?,2(0/0),0,;,515,/d,38.880667,-77.634000,,,,,,,APRSISCE win32 version,,,Evergreen FD
0,1538697693,2018-10-05T00:01:33Z,K4DPF-2,N3HF-1?,2(0/0),0,_,K4DPF-2,/U,,,,,,,,,Byons WXTrac,,,
0,1538697706,2018-10-05T00:01:46Z,WC4J-3,N3HF-1?,3(0/0),0,;,PW HOSP,/h,38.767167,-77.487167,,,,,,,APRSISCE win32 version,,,PWC NOVANT HOSPITAL
0,1538697719,2018-10-05T00:01:59Z,N3RSY-1,N3HF-1?,4(0/0),0,=,N3RSY-1,\a,39.218333,-76.657333,19.0,254.0,4.9,146.520,,,APRSdroid Android App http://aprsdroid.org/,,, PROJECT LOWJACK
0,1538697732,2018-10-05T00:02:12Z,W3SMD-1,N3HF-1?,2(0/0),0,!,W3SMD-1,S#,38.494333,-76.700000,,,,,,,Kantronics KPC-3 rom versions,,," W3, MD3-3, Hidden River RD"
0,1538697736,2018-10-05T00:02:16Z,WC4J-3,N3HF-1?,4(0/0),0,;,517,/d,38.625833,-77.347500,,,,,,,APRSISCE win32 version,,,Dumfries Triangle VFD
0,1538697747,2018-10-05T00:02:27Z,W4IY,N3HF-1,2(0/0),0,!,W4IY,/&,38.650500,-77.275167,,,,,,,APRS4R software interface,,,APRS4R    Woodbridge  VA
0,1538697760,2018-10-05T00:02:40Z,KC4ZPL,N3HF-1?,2(0/0),0,`,KC4ZPL,/-,38.932000,-75.547500,0.0,,16.0,,,,Kenwood TM-D710,In Service,,"HARRINGTON,DELAWARE"
0,1538697766,2018-10-05T00:02:46Z,WC4J-3,N3HF-1?,1(0/0),0,;,518,/d,38.666000,-77.381833,,,,,,,APRSISCE win32 version,,,Dale City VFD
0,1538697770,2018-10-05T00:02:50Z,AB2S-2,N3HF-1?,2(0/0),0,>,AB2S-2,/U,,,,,,,,,"DIXPRS - Bela, HA5DI",,,/TJreverb 
0,1538697773,2018-10-05T00:02:53Z,AB2S-2,N3HF-1,2(0/0),0,>,AB2S-2,/U,,,,,,,,,"DIXPRS - Bela, HA5DI",,,/TJreverb 
0,1538697788,2018-10-05T00:03:08Z,N3HF-1,N3HF-1,2(0/0),0,;,IRLP-4712,I0,39.040000,-76.992167,,,,443.450,,156.7,,,, N3HF-R
0,1538697796,2018-10-05T00:03:16Z,WC4J-3,N3HF-1?,2(0/0),0,;,520,/d,38.647667,-77.306333,,,,,,,APRSISCE win32 version,,,Dale City FD
0,1538697827,2018-10-05T00:03:47Z,WC4J-3,N3HF-1?,3(0/0),0,;,505,/d,38.700333,-77.577167,,,,,,,APRSISCE win32 version,,,Nokesville Vol FD
0,1538697856,2018-10-05T00:04:16Z,KM4KAW-9,N3HF-1?,3(0/0),0,:,KM4KAW-9,/>,,,,,,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,SitRep: 10.89236 80.15f
0,1538697858,2018-10-05T00:04:18Z,WC4J-3,N3HF-1?,2(0/0),0,;,521,/d,38.751167,-77.480167,,,,,,,APRSISCE win32 version,,,Manassas Rescue SQD
0,1538697886,2018-10-05T00:04:46Z,WC4J-3,N3HF-1?,3(0/0),0,;,524,/d,38.831000,-77.663833,,,,,,,APRSISCE win32 version,,,PWC Station 25
0,1538697890,2018-10-05T00:04:50Z,N3RSY-1,N3HF-1?,1(0/0),0,=,N3RSY-1,\a,39.250333,-76.679167,47.0,319.0,7.3,146.520,,,APRSdroid Android App http://aprsdroid.org/,,, PROJECT LOWJACK
0,1538697901,2018-10-05T00:05:01Z,AE4ML-1,N3HF-1,3(0/0),0,!,AE4ML-1,S#,38.300000,-77.457167,,,,,,,Kantronics KPC-3 rom versions,,,"6/W3,VA3/Fredericksburg"
0,1538697902,2018-10-05T00:05:02Z,AE4ML-1,N3HF-1?,4(0/0),0,;,442.850VA,/r,38.300833,-77.456833,,,,442.850,,107.2,Kantronics KPC-3 rom versions,,, lnkd 146.775/224.900
0,1538697910,2018-10-05T00:05:10Z,N3HF-1,N3HF-1,5(0/0),0,;,EL-84345,E0,39.040000,-76.992167,,,,443.450,,156.7,Kantronics KPC-3 rom versions,,, N3HF-R
0,1538697913,2018-10-05T00:05:13Z,N3RSY-1,N3HF-1?,1(0/0),0,=,N3RSY-1,\a,39.253333,-76.683667,45.0,305.0,4.3,146.520,,,APRSdroid Android App http://aprsdroid.org/,,, PROJECT LOWJACK
0,1538697916,2018-10-05T00:05:16Z,WC4J-3,N3HF-1?,4(0/0),0,;,510,/d,38.629167,-77.315167,,,,,,,APRSISCE win32 version,,,Dale City VFD
0,1538697932,2018-10-05T00:05:32Z,K3HKI-1,N3HF-1?,3(0/0),0,!,K3HKI-1,S#,38.396500,-76.631333,,,,,,,Kantronics KPC-3 rom versions,,, W3 MD3-3 SMCARA APRS Digi
0,1538697938,2018-10-05T00:05:38Z,NG2E-12,N3HF-1?,3(0/0),0,`,NG2E-12,/>,38.889855,-77.173258,7.0,11.0,101.0,146.520,,,Byonics TinyTrack3,In Service,"Seq=5, A1=468, A2=624",monitoring 146.520
0,1538697946,2018-10-05T00:05:46Z,WC4J-3,N3HF-1?,3(0/0),0,;,503F,/d,38.553500,-77.332500,,,,,,,APRSISCE win32 version,,,Dumfries Triangle VFD
0,1538697954,2018-10-05T00:05:54Z,NG2E-12,N3HF-1?,2(0/0),0,`,NG2E-12,/>,38.890636,-77.173493,10.0,91.0,102.0,,,,Byonics TinyTrack3,In Service,"Seq=6, A1=468, A2=625",
0,1538697979,2018-10-05T00:06:19Z,WC4J-3,N3HF-1?,2(0/0),0,;,525,/d,38.753167,-77.573000,,,,,,,APRSISCE win32 version,,,Nokesville Vol FD
0,1538697984,2018-10-05T00:06:24Z,N3RSY-1,N3HF-1?,3(0/0),0,=,N3RSY-1,\a,39.258833,-76.700167,50.0,303.0,14.9,146.520,,,APRSdroid Android App http://aprsdroid.org/,,, PROJECT LOWJACK
0,1538697986,2018-10-05T00:06:26Z,KA3POX,N3HF-1?,2(0/0),0,!,KA3POX,S#,38.711500,-76.980833,,,,,,,Kantronics KPC-3 rom versions,,,"/W2,MDn FTWASHINGTON MD"
0,1538697993,2018-10-05T00:06:33Z,K4DPF-2,N3HF-1?,1(0/0),0,_,K4DPF-2,/U,,,,,,,,,Byons WXTrac,,,
0,1538698004,2018-10-05T00:06:44Z,KM4GML-9,N3HF-1?,1(0/0),0,`,KM4GML-9,/>,38.811500,-77.157500,10.0,201.0,77.0,147.315,,,Kenwood TM-D710,In Service,,I monitor 147.315 MHz
0,1538698007,2018-10-05T00:06:47Z,WC4J-3,N3HF-1?,2(0/0),0,;,Heathcote,/h,38.820667,-77.641833,,,,,,,APRSISCE win32 version,,,Heathcote Hospital
0,1538698010,2018-10-05T00:06:50Z,NG2E-12,N3HF-1?,2(0/0),0,`,NG2E-12,/>,38.889546,-77.164724,27.0,128.0,94.0,146.520,,,Byonics TinyTrack3,In Service,"Seq=7, A1=468, A2=626",monitoring 146.520
0,1538698022,2018-10-05T00:07:02Z,N3HF-1,N3HF-1,1(0/0),0,!,N3HF-1,S#,38.684500,-77.418333,,,,,,,Kantronics KPC-3 rom versions,,,"/W3,VAn,Independent Hill VA /A=00354"
0,1538698030,2018-10-05T00:07:10Z,N1RM-1,N3HF-1?,3(0/0),0,@,N1RM-1,S#,38.958167,-77.364333,,,,,,,SQ3PLX http://microsat.com.pl/,,,4/Near Reston Hospital
0,1538698034,2018-10-05T00:07:14Z,K4RSU,N3HF-1?,4(0/0),0,=,K4RSU,/-,38.709833,-77.377167,,,,,,,UIview 32 bit apps,,,"Zach in Manassas,VA {UIV32N}"
0,1538698036,2018-10-05T00:07:16Z,N3HF-1,N3HF-1,4(0/0),0,;,443.450MD,/r,39.040000,-76.992167,,,,443.450,,156.7,,,, N3HF-R
0,1538698037,2018-10-05T00:07:17Z,WC4J-3,N3HF-1?,2(0/0),0,;,Sentara,/h,38.636333,-77.286500,,,,,,,APRSISCE win32 version,,,Sentara NVA Medical Center
